"Tool #","Tool Group","Number","Cut Dia","Overall Length","LOC","(S)tub / (J)obber","ANSICatalogNumber","Approved Brand","Backside Capable","BodyDia","BottomCut","BottomRelief","CenterCut","Classification Marking","Classification Markings","Coating","CornerRad","Cost","Created At","Made Of","Custom Grind","Custom Ground Notes","Cutting Direction","Description","Diameter of Ball (DK)","Diameter Range","Diametral Knurl Value","Double Ended","SK Size","Face to Tip Value","FluteType/Chipbreaker","Full Profile","Grooving Insert Width","Quantity Verified","HelixAngle","Holder","Insert Corner Radius","InsertInscribedCirle","InsertReliefAngle","InsertShape","Insert Thickness","Insert Tip to Center Line of Shank","InsertTolerance","Insert Type","Inspection Certified","ISO Catalog Number","Lead Angle","Lead time","Length Below Holder - MIN OOH","Length Under Ball (ML)","Location","Max Back Angle","Max Offset Drill","Max Z Depth","Min Bore Diameter","Nomenclature","No. of Cutting Corners","No.ofFlutes","Pictures","Pitch","Pocket Geometry","Point Type","Totalin Shop","Recommended Pre-drill Size","Recommended Workpiece Material","Relieved Shank Diameter","Round Shank","Shaft Diameter (DS)","Shaft Material","Shank Diameter","Size Name","Sphere Material","Size of Square on Tap","Status","Tap class","Taper","Thread","Threaded Adapter Diameter (DG)","Threads Per Inch","Thread Type","Through Coolant","Tip Angle","Tip Diameter","Tip to 1st Full Thread","Drawer Location","Tool Material","TopCut","TopRelief","TPI Circular Pitch","Type Straight or Diagonal","Vendor","EDP#","RTA List"
"A-56","A","","","","","","","Harvey","false","","","","N","","","","","","6/5/2025; 03:54:01 PM","","","","","1/4 EM 1"" LOC  7 FL","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","69","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","11937141",""
"K-57","K","57","0.1875","","0.5","","","Harvey","false","","","","Y","","","","0.015","85.78","6/5/2025; 04:58:24 PM","","","","","3/16 Back Corner .015 R","","","","N","","","","false","","","","","","","","","","","","","false","","","","0.68","","70","","","","","","","3","table 2 items","","","","1","","","","",".1875","","0.1875","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","16015-C3",""
"K-57","K","","","","","","","Harvey","false","","","","Y","","","","","","6/5/2025; 04:58:24 PM","","","","","3/16 Back Corner .015 R","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","70","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","30039945",""
"B-58","B","58","0.125","2.5","0.5","","","Accupro","false","","","","Y","","","","","10.98","6/10/2025; 10:30:14 AM","","","","","1/8 BALL 1/2 LOC 3 FL","","","","N","SK13","","","false","","","40","","","","","","","","","","false","","","","0.64","","20","","","","","","","3","table 2 items","","","","2","","","","","","","0.125","","","","Active","","","","","","","false","","","","","","","","","","MSC1","09492299",""
"A-59","A","59","0.1875","","9/16","","","HAas","false","","","","Y","","","","","","6/10/2025; 11:01:31 AM","","","","","3/16"" EM 3 FL 9/16"" LOC","","","","N","SK13","","","false","","","38","","","","","","","","","","false","","","","0.74","","32","","","","","","","3","table 2 items","","","","5","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","HAA1","03-0082",""
"B-60","B","60","0.125","2.5","0.375","","","Harvey","false","","","","Y","","","C6","","","6/18/2025; 01:13:57 PM","","","","","1/8 BALL 6 FL .375 LOC","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","0.61","","71","","","","","","","6","table 2 items","","","","0","","Hardened steels","","","","","0.25","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","843508-C6",""
"A-61","A","61","0.375","2.5","1.0","","","Garr","false","","","","N","","","","","71.21","6/20/2025; 04:13:32 PM","","","","","3/8 Rougher EM 7FL 1.0LOC","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","1.13","","72","","","","","","","7","table 2 items","","","","7","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","64300",""
"A-61","A","","","","","","","Garr","false","","","","N","","","","","56.44","6/20/2025; 04:13:32 PM","","","","","3/8 Rougher EM 7FL 1.0LOC","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","","","72","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","BUT1","64300",""
"B-62","B","62","0.125","","0.144","","","Harvey","false","","","","Y","","","C6","","","6/25/2025; 10:34:12 AM","","","","","1/8 45 deg engraving.005 Flat","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","0.18","","73","","","","","","","2","table 2 items","","","","","","Steel","","","","","0.125","","","","Active","","","","","","","false","45","0.005","","","","","","","","JON1","811608-C6",""
"A-63","A","63","0.062","1.5","0.093","","","Harvey","false","","","","Y","","","","0.01","","6/25/2025; 10:43:36 AM","","","","",".062 BULL .01R  .093 LOC 3 FL","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","0.86","","33","","","0.75","","","","","table 2 items","","","","1","","","","","","","","","","","Active","","","","","","","false","","0.062","","","","","","","","JON1","41962",""
"N-64","N","64","0.375","3","","","","Harvey","false","","","","N","","","","","","6/25/2025; 10:50:26 AM","","","","","3/8 Double Angled cuter 90 deg included 1.25 Reach","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","1.47","","28","","","","","","","6","table 2 items","","","","1","","","","","","","0.25","","","","Active","","","","","","","false","90","","","","CARB","","","","","JON1","807224",""
"D-65","D","65","0.1800","3.93","1.732","","","Harvey","false","","","","","","","C8","","","6/30/2025; 10:05:57 AM","","","","",".180 Drill for aluminum","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","1.96","","74","","","","","","","3","table 2 items","","","","1","","Aluminum","","","","","6mm","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","CBG1800-C8",""
"D-65","D","","","","","","","Harvey","false","","","","","","","C8","","","6/30/2025; 10:05:57 AM","","","","",".180 Drill for aluminum","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","74","","","","","","","","table 2 items","","","","","","Aluminum","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","13898044",""
"D-66","D","66","0.136","3.93","1.574","","","Harvey","false","","","","","","","","","","6/30/2025; 10:12:06 AM","","","","","#29 (.136""Ø) drill for aluminum","","","","","","","","false","","","","","","","","","","","","","false","","","","1.82","","75","","","","","","","2","table 2 items","","","","1","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","ERY1360-C8",""
"D-67","D","67","0.120","","1.653","","","Harvey","false","","","","","","","C8","","","6/30/2025; 10:16:52 AM","","","","","# 31 (.120Ø) drill for aluminum","","","","","","","","false","","","","","","","","","","","","","false","","","","1.92","","76","","","","","","","2","table 2 items","","","","4","","Aluminum","","","6mm","","","","","","Active","","","","","","","false","","","","","","","","","","JON1","DQW1200-C8",""
"D-67","D","","","","","","","Harvey","false","","","","","","","C8","","97.62","6/30/2025; 10:16:52 AM","","","","","# 31 (.120Ø) drill for aluminum","","","","","","","","false","","","","","","","","","","","","","false","","","","","","76","","","","","","","","table 2 items","","","","","","Aluminum","","","","","","","","","Active","","","","","","","false","","","","","","","","","","MSC1","13899133",""
"D-68","D","68","0.2972","","1.14","","","Haas","false","","","","Y","","","TIALN","","","7/2/2025; 10:19:39 AM","","","","","7.55mm Ø Carbide Drill 2 FL","","","","N","SK13","","","false","","","30","","","","","","","","","","false","","","","","","77","","","","","","","2","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","140","","","","CARB","","","","","HAA1","03-3216",""
"O-69","O","69","0.25","","0.125","","","Guhring","false","","","","","","","","","75.74","7/2/2025; 11:09:14 AM","","","","","1/4""  Body Dia, 90 deg Spotting Drill","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","78","","","","","","","2","table 2 items","","","","0","","","","","","","","","","","Active","","","","","","","false","90","","","","HSS","","","","","MSC1","85788164",""
"R-70 (CG)","R","70","0.1465","","0.8","","","GWO","false","","","","","","","","","","7/2/2025; 11:33:19 AM","","true","","","4-40 3B STI 3fl tap Ext reach Custom tap","","","","","","","","false","","","","","","","","","","","","","false","","","","","","79","","","","","","","","","","","Bottoming","0","","","","","","","0.139","","","","Active","","","#4-40 STI","","","Spiral Cut","false","","","","","HSS","","","","","JON1","88203822",""
"R-71 (CG)","R","71","0.220","6","0.9","","","GWO","false","","","","N","","","","","","7/2/2025; 12:03:09 PM","","true","","","12-28 2B 3fl 52 deg SPFL btm tap","","","","","SK13","","","false","","","52","","","","","","","","","","false","","","","","","80","","","","","","","3","","","","Bottoming","2","","","","","","","0.2195","","","","Active","2B","","","","","Spiral Cut","false","","","","","HSS/CARB","","","","","JON1","88203522",""
"R-72 (CG)","R","72","0.1675","6.0","0.75","","","GWO","false","","","","","","","","","","7/2/2025; 01:09:19 PM","","true","","","8-32 3fl X 6"" spiral cut tap","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","81","","","","","","","3","","","","Bottoming","2","","Aluminum","","","","","0.168","","","","Active","","","#8-32","","","Spiral Cut","false","","","","","HSS/CARB","","","","","JON1","88203824",""
"A-73","A","73","0.25","4.0","2.0","","","Helical","false","","","","Y","","","UNcoated","","46.20","7/7/2025; 02:25:07 PM","","","","","1/4Ø  EM  3 FL 2.0 LOC","","","","N","SK13","","","false","","","Variable","","","","","","","","","","false","","","","2.26","","82","","","","","","","3","table 2 items","","","","1","","Aluminum","","",".25","","0.25","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","90016049",""
"A-73","A","","","","","","","Helical","false","","","","Y","","","UNcoated","","46.20","7/7/2025; 02:25:07 PM","","","","","1/4Ø  EM  3 FL 2.0 LOC","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","","","82","","","","","","","","table 2 items","","","","","","Aluminum","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","86064",""
"L-74","L","74","0.375","","0.153","","","Harvey","false","","","","Y","","","","","","7/7/2025; 03:16:53 PM","","","","","3/8Ø 90° Chamfer .07 flat","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","0.32","","83","","","","","","","5","table 2 items","","","","4","","","","","","","0.375","","","","Active","","","","","","","false","90","0.07","","","CARB","","","","","JON1","789024",""
"L-74","L","","","","","","","Harvey","false","","","","Y","","","","","","7/7/2025; 03:16:53 PM","","","","","3/8Ø 90° Chamfer .07 flat","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","","","83","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","90","0.07","","","CARB","","","","","MSC1","16174419",""
"B-75","B","75","0.5","4.0","2.0","","","Helical","false","","","","Y","","","","0.25","137.10","7/7/2025; 06:20:56 PM","","","","","1/2Ø  BALL 3 FL 2.0 LOC","","","","N","SK13","","","false","","","40 variable","","","","","","","","","","false","","","","2.4","","84","","","","","","","3","table 2 items","","","","2","","Aluminum","","","","","0.5","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","49316",""
"B-75","B","","","","","","","Helical","false","","","","Y","","","","","139.84","7/7/2025; 06:20:56 PM","","","","","1/2Ø  BALL 3 FL 2.0 LOC","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","","","84","","","","","","","","table 2 items","","","","","","Aluminum","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","99111270",""
"A-76","A","76","0.75","5.75","2.7756","","","Fraisa","false","","","","Y","","","","0.008","338.20","7/8/2025; 04:56:34 PM","","","","","3/4 BULL .008R 2.77LOC Rough","","","","N","SK20","","","false","","","","","","","","","","","","","false","","","","","","85","","","2.776","","","","3","table 2 items","","","","5","","","","","","","0.75","","","","Active","","","","","","","false","","","","","CARB","","","","","FRA1","95506652",""
"A-77","A","77","0.5","4.25","1.850","","","Fraisa","false","","","","Y","","","","0.008","150.10","7/8/2025; 05:09:42 PM","","","","","1/2 BULL .008R 1.85LOC Rougher","","","","N","SK13","","Roughing","false","","","","","","","","","","","","","false","","","","2.25","","86","","","2.25","","","","3","table 2 items","","","","1","","Aluminum","","","","","0.5","","","","Active","","","","","","","true","","","","","CARB","","","","","FRA1","95505530",""
"N-78","N","78","0.488","3.5","0.85","","","Scientific Cutting Tools","false","","","","","","","","","90.09","7/9/2025; 04:08:55 PM","","","","","Single Profile TM 11 to 32 TPI 5 FL","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","87","","","","","","","5","table 2 items","","","","1","","","","","","","0.5","","","","Active","","","5/8-11","","11-32","Cut","false","","","","","CARB","","","","","MSC1","40232944",""
"N-78","N","","","","","","","Scientific Cutting Tools","false","","","","","","","","","","7/9/2025; 04:08:55 PM","","","","","Single Profile TM 11 to 32 TPI 5 FL","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","87","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","5/8-11","","11-32","Cut","false","","","","","CARB","","","","","JON1","SPTM488",""
"D-79","D","79","0.5","6.0","3.75","J","","","false","","","","","","","","","9.42","7/9/2025; 04:20:54 PM","","","","","1/2 (0.50) HSS Drill","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","88","","","","","","","2","table 2 items","","","","3","","","","","","","0.5","","","","Active","","","","","","","false","118","","","","HSS","","","","","MCM1","8870A45",""
"D-80","D","80","0.53125","6.625","4.01","J","","","false","","","","","","","","","20.66","7/9/2025; 04:52:53 PM","","","","","17/32 (0.531) HSS Drill","","","","","SK20","","","false","","","","","","","","","","","","","false","","","","","","89","","","","","","","","table 2 items","","","","2","","","","","","","0.53125","","","","Active","","","","","","","false","118","","","","","","","","","MCM1","8870A47",""
"R-81","R","81","","","","","","","false","","","","","","","","","72.20","7/9/2025; 05:00:35 PM","","","","","5/8-11 SPI Helical Tap","","","","","","","","false","","","","","","","","","","","","","false","","","","","","90","","","","","","","","table 2 items","","","","1",".6563","","","","","","","","","","Active","","","5/8-11 STI","","11","Cut","false","","","","","","","","","","MCM1","91709A112",""
"A-82","A","82","0.5","","4.00","","","","false","","","","","","","","","103.15","7/11/2025; 01:57:12 PM","","","","","1/2"" x 4.0"" EM LOC 4FL","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","91","","","","","","","4","table 2 items","","","","1","","","","","","","","","","","Active","","","","","","","false","","","","","","","","","","LAK1","LC218012X-C",""
"O-83","O","83","0.5","","","","","","false","","","","","","","","","79.29","7/11/2025; 02:05:12 PM","","","","","1/2"" 90 Deg Double End Carbide Spot Drill","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","92","","","","","","","2","table 2 items","","","","0","","","","","","","0.5","","","","Active","","","","","","","false","90","","","","","","","","","LAK1","SDE139012",""
"D-84","D","84","0.4063","5.38","3.4","J","","","false","","","","","","","","","6.33","7/16/2025; 11:31:08 AM","","","","","13/32 (.406) HSS Drill","","","","","","","","false","","","","","","","","","","","","","false","","","","","","93","","","","","","","2","table 2 items","","","","0","","","","","","","0.4063","","","","Active","","","","","","","false","118","","","","HSS","","","","","MCM1","8870A38",""
"B-85","B","85","0.0393","1.49","0.1574","","","ACCUPRO","false","","","","Y","","","","","","7/27/2025; 04:25:31 PM","","","","","1mm BALL 4MM LOC 4 FL","","","","N","SK13","","","false","","","40","","","","","","","","","","false","","","","0.38","","43","","","","","","","4","table 2 items","","","","1","","Steel","","","","","0.1181","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","76489657",""
"F-86","F","86","0.1181","2.25","0.625","","","","false","","","","N","","","","","","7/27/2025; 04:40:15 PM","","","","","3mm Chucking reamer","","","","N","SK13","","","false","","","0","","","","","","","","","","false","","","","0.83","","44","","","","","","","4","table 2 items","","","Bottoming","0","","","","",".1181","","0.1181","","","","Active","","","","","","","false","45","","","","CARB","","","","","MSC1","79891222",""
"D-87","D","87","0.159","","1.4173","","","M.A.Ford","false","","","","Y","","","","","53.34","7/30/2025; 03:35:07 PM","","","","",".159Ø #21 140° Carbide Drill","","","","N","SK13","","","false","","","","","","","","","","","","","false","","","","","","94","","","","","","","2","table 2 items","","","","3","","","","","","","0.236","","","","Active","","","","","","","true","140","","","","CARB","","","","","MSC1","12441408 (21633)",""
"D-88","D","88","0.1160","","1.2992","","","Guhring","false","","","","Y","","","","","17.43","7/30/2025; 03:41:38 PM","","","","",".116 Ø#32 Drill 118 deg","","","","","","","","false","","","","","","","","","","","","","false","","","","","","95","","","","","","","2","table 2 items","","","","2","","","","","","","0.1161","","","","Active","","","","","","","false","118","","","","CARB","","","","","MSC1","58597006",""
"D-89","D","89","0.076","","0.6875","J","","Garr","false","","","","","","","","","10.38","7/30/2025; 03:47:34 PM","","","","",".076Ø #48 Carbide Drill","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","96","","","","","","","2","table 2 items","","","","2","","","","","","","0.076","","","","Active","","","","","","","false","135","","","","CARB","","","","","JON1","77191 1520H",""
"D-90","D","90","0.136","","0.551","","","Haas","false","","","","Y","","","","","20.97","7/30/2025; 03:57:08 PM","","","","",".136Ø #29 Drill 140deg","","","","N","SK13","","","false","","","30","","","","","","","","","","false","","","","","","97","","","","","","","2","table 2 items","","","","2","","","","",".236","","0.236","","","","Active","","","","","","","true","140","","","","CARB","","","","","HAA1","03-0700",""
"F-91","F","91","0.139","","0.75","","","GARR","false","","","","N","","","","","16.85","7/30/2025; 04:27:29 PM","","","","",".139Ø Chucking reamer","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","98","","","","","","","4","table 2 items","","","","1","","","","","","","0.139","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","GARR TOOL EDP95393 4100",""
"F-92","F","92","0.1186","3.5","0.875","","","Fullerton","false","","","","N","","","","","62.11","7/30/2025; 04:52:02 PM","","","","",".1186 Reamer","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","99","","","","","","","4","table 2 items","","","","4","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","LIB1","1450S01 .1186",""
"A-93","A","93","0.0625","1.5","0.1875","","","ACCUPRO","false","","","","Y","","","AiTIN","","12.78","7/30/2025; 04:56:55 PM","","","","","1/16Ø EM 3/16 LOC 4 FL","","","","N","SK13","","","false","","","30","","","","","","","","","","false","","","","","","100","","","","","","","4","table 2 items","","","","5","","","","","","","0.125","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","01982156",""
"F-94","F","94","0.1645","","1.016","","","Fullerton","false","","","","N","","","","","78.83","7/30/2025; 04:59:14 PM","","","","",".1645Ø Reamer","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","101","","","","","","","4","table 2 items","","","","3","","","","","","","0.156","","","","Active","","","","","","","false","","","","","CARB","","","","","LIB1","1450S04 .1645",""
"F-95","F","95","0.08","2.0","1.0","","","Harvey","false","","","","N","","","","","43.60","7/30/2025; 05:04:23 PM","","","","",".08 Ø Reamer","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","102","","","","","","","","table 2 items","","","","3","","","","","","","","","","","Active","","","","","","","false","","","","","","","","","","JON1","RSB0800-C3",""
"F-95","F","","","","","","","Harvey","false","","","","N","","","","","43.60","7/30/2025; 05:04:23 PM","","","","",".08 Ø Reamer","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","102","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","","","","","","MSC1","49356454",""
"N-96","N","96","0.1562","2.0","","","","Harvey","false","","","","N","","","","","69.30","8/1/2025; 02:54:35 PM","","","","","5/32Ø Key cutter .0625 ketf .562 reach .078 neckØ","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","104","","","","","","","6","table 2 items","","","","3","","","","",".078","","0.1875","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","956262-C3",""
"R-97","R","97","0.125","1.9","0.626","","","OSG","false","","","","N","","","","","21.93","8/4/2025; 04:35:54 PM","","","","","5-40  Bottoming Form tap H3","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","103","","","","","","","","table 2 items","","","Bottoming","1",".113","","","","","","0.141","","","","Active","3B","","#5-40","","","Form","false","","","","","HSS","","","","","MSC1","07462542",""
"R-98","R","98","0.1968","2.36","0.874","","","OSG","false","","","","","","","Tin","","21.38","8/6/2025; 04:05:38 PM","","","","","M5X.8 Form tap 4H Class","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","105","","","","","","","","table 2 items","","","Bottoming","3","","","","","","","0.194","","","","Active","4H","","M5 x .8","","","Form","false","","","","","COBALT","","","","","MSC1","75677088",""
"A-99","A","99","0.125","1.5","0.375","","","","false","","","","Y","","","ZrN","","17.70","8/6/2025; 04:23:38 PM","","","","","1/8Ø BULL .02 R 3 FL 3/8 LOC","","","","N","","","","false","","","37","","","","","","","","","","false","","","","","","106","","","","","","","3","table 2 items","","","","2","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","70217245",""
"D-100","D","100","0.1181","2.4","1.3","S","","Guhring","false","","","","Y","","","","","19.88","8/6/2025; 04:33:26 PM","","","","","3mm Carbide Drill","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","17","","","","","","","2","table 2 items","","","","4","","","","","","","","","","","Active","","","","","","","false","118","","","","CARB","","","","","MSC1","62992979",""
"A-101","A","101","0.25","2.5","0.375","","","","false","","","","Y","","","","","37.70","8/6/2025; 04:50:25 PM","","","","","1/4 BULL .005 R LOC .375  3 FL","","","","N","","","","false","","","30","","","","","","","","","","false","","","","","","107","","","","","","","3","table 2 items","","","","1","","Al","","","","","0.25","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","13844071",""
"A-101","A","","","","","","","","false","","","","Y","","","","","37.70","8/6/2025; 04:50:25 PM","","","","","1/4 BULL .005 R LOC .375  3 FL","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","107","","","","","","","","table 2 items","","","","","","Al","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","833005",""
"D-102","D","102","0.1811","3.14","1.85","J","","Guhring","false","","","","","","","","","39.03","8/13/2025; 05:14:41 PM","","","","",".1811 Drill Minor for M5X.8 Form tap","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","108","","","","","","","2","table 2 items","","","","0","","","","","","","0.1811","","","","Active","","","","","","","false","118","","","","CARB","","","","","MSC1","62993183",""
"D-102","D","","","","","J","","Guhring","false","","","","","","","","","","8/13/2025; 05:14:41 PM","","","","",".1811 Drill Minor for M5X.8 Form tap","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","108","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","118","","","","CARB","","","","","","9024640046000",""
"A-103","A","103","0.75","3.0","1.0","","","ACCUPRO","false","","","","N","","","AlTiCrN","","128.01","8/19/2025; 02:45:03 PM","","","","","3/4 EM  7FL 1.LOC","","","","","","","","false","","","38","","","","","","","","","","false","","","","","","109","","","","","","","7","table 2 items","","","","2","","Steel","","","","","0.75","","","","Active","","","","","","","false","","","","1D","CARB","","","","","MSC1","42528455",""
"A-104","A","104","0.03125","1.5","0.0932","","","ACCUPRO","false","","","","Y","","","","0.01","13.02","8/21/2025; 06:35:44 PM","","","","","1/32 BULL .01R 3/32 LOC","","","","N","","","","false","","","30","","","","","","","","","","false","","","","","","111","","","","","","","4","table 2 items","","","","3","","","","","","","0.125","","","","Active","","","","","","","false","","","","1D","CARB","","","","","MSC1","58716796",""
"R-105","R","105","0.190","","","","","OSG","false","","","","","","","","","29.22","8/22/2025; 04:22:35 PM","","","","","10-32 Cut Tap Bottoming 1650510008","","","","","","","","false","","","","","","","","","","","","","false","","","","","","113","","","","","","","3","table 2 items","","","Bottoming","2","","","","","","","","","","","","","","#10-32","","","Spiral Cut","false","","","","","","","","","","MSC1","49194491",""
"A-106","A","106","0.1181","1.496","0.236","","","ACCUPRO","false","","","","Y","","","AlTiN","","13.22","8/26/2025; 02:45:57 PM","","","","","3mm .1181 EM 4FL 6mm LOC","","","","N","","","","false","","","30","","","","","","","","","","false","","","","","","112","","","","","","","4","table 2 items","","","","2","","Steel","","","","","0.1181","","","","Active","","","","","","","false","","","","1D","CARB","","","","","MSC1","29768363",""
"D-107","D","107","0.076","2.0","0.532","S","","ACCUPRO","false","","","","","","","AlTiN","","23.91","8/29/2025; 11:02:37 AM","","","","",".076 #48 Drill","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","114","","","","","","","2","table 2 items","","","","5","","","","","","","0.125","","","","Active","","","","","","","false","140","","","","CARB","","","","","MSC1","63310270",""
"L-108","L","108","0.135","2.0","0.625","","","Harvey","false","","","","N","","","C3","","94.50","9/8/2025; 12:21:24 PM","","","","",".135 Back Chamf","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","115","","","","","","","5","table 2 items","","","","1","","",".081","","","","0.1875","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","50283795",""
"L-108","L","","","","","","","Harvey","false","","","","N","","","C3","","","9/8/2025; 12:21:24 PM","","","","",".135 Back Chamf","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","115","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","910420-C3",""
"D-109","D","109","0.1094","2.244","0.827","","","Haas","false","","","","","","","TiAIN","","52.95","9/9/2025; 12:31:47 PM","","","","","7/64 .0194 Drill 140Deg TSC","","","","","","","","false","","","30","","","","","","","","","","false","","","","","","116","","","","","","","2","table 2 items","","","","","","","","","","","4mm","","","","Active","","","","","","","false","140","","","","","","","","","HAA1","03-0816",""
"M-110","M","110","0.07","2.0","0.059","","","Harvey","false","","","","N","","","","0.015","86.60","9/10/2025; 01:23:57 PM","","","","",".07 Dove 48deg .015R","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","117","","","","","","","2","table 2 items","","","","2","","","","","","","0.125","","","","Active","","","","","","","false","","","","","CARB","","","","","JON1","23807",""
"M-110","M","","","","","","","Harvey","false","","","","N","","","","","86.60","9/10/2025; 01:23:57 PM","","","","",".07 Dove 48deg .015R","","","","N","","","","false","","","","","","","","","","","","","false","","","","","","117","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","MSC1","85188589",""
"A-111","A","111","0.75","4.00","1.625","","","Accupro","false","","","","Y","","","nACRo","","229.24","9/11/2025; 12:30:23 PM","","","","","3/4 EM 7FL 1.625LOC","","","","","","","Finish","false","","","","","","","","","","","","","false","","","","","","118","","","","","","","7","table 2 items","","","","1","","High-Temp Alloy","","","","","0.75","","","","","","","","","","","false","","","","","CARB","","","","","MSC1","58751223",""
"D-112","D","112","0.1142","","","S","","M.A. Ford","false","","","","","","","","","39.17","9/11/2025; 04:10:50 PM","","","","","2.9mm .1142 Drill Carbide","","","","","","","","false","","","","","","","","","","","","","false","","","","","","119","","","","","","","","table 2 items","","","","4","","","","","","","0.1142","","","","","","","","","","","false","142","0.1142","","","CARB","","","","","MSC1","58251034",""
"D-113","D","113","0.1575","4","1.1417","","","Haas","false","","","","","","","TIALN","","45.95","9/16/2025; 08:38:17 AM","","","","",".1575 4mm drill 140 deg TSC","","","","","SK13","","","false","","","","","","","","","","","","","false","","","","","","120","","","","","","","2","table 2 items","","","","4","","Steel","","","","","6mm","","","","Active","","","","","","","false","140","","","","CARB","","","","","HAA1","03-1366",""
"M-114","M","114","0.07992","","","","","Razor Sharp","false","","","","N","","","","0.0169","117.80","9/19/2025; 01:27:57 PM","","","","",".0799 Custom Oring cutter","","","","","","","","false","","","","","","","","","","","","","false","","","7","","","121","","","","","","","","table 2 items","","","","","","","","","","","","","","","Active","","","","","","","false","","","","","CARB","","","","","","",""
